"trip_id","stop_sequence","stop_id","arrival_time","departure_time","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled"
880815,1,"LTFRB_4977","00:00:00","00:00:00",,0,0,
880815,2,"LTFRB_4978","00:02:30","00:03:00",,0,0,
880815,3,"LTFRB_4979","00:06:30","00:07:00",,0,0,
880815,4,"LTFRB_4980","00:10:00","00:10:30",,0,0,
880815,5,"LTFRB_4981","00:13:30","00:14:00",,0,0,
880815,6,"LTFRB_4982","00:16:00","00:16:30",,0,0,
880815,7,"LTFRB_4983","00:19:00","00:19:30",,0,0,
880815,8,"LTFRB_4984","00:22:30","00:23:00",,0,0,
880815,9,"LTFRB_4985","00:26:30","00:27:00",,0,0,
880815,10,"LTFRB_4986","00:29:00","00:29:30",,0,0,
880815,11,"LTFRB_4987","00:33:30","00:33:30",,0,0,
882129,1,"LTFRB_4977","00:00:00","00:00:00",,0,0,
882129,2,"LTFRB_4978","00:02:30","00:03:00",,0,0,
882129,3,"LTFRB_4979","00:06:30","00:07:00",,0,0,
882129,4,"LTFRB_4980","00:10:00","00:10:30",,0,0,
882129,5,"LTFRB_4981","00:13:30","00:14:00",,0,0,
882129,6,"LTFRB_4982","00:16:00","00:16:30",,0,0,
882129,7,"LTFRB_4983","00:19:00","00:19:30",,0,0,
882129,8,"LTFRB_4984","00:22:30","00:23:00",,0,0,
882129,9,"LTFRB_4985","00:26:30","00:27:00",,0,0,
882129,10,"LTFRB_4986","00:29:00","00:29:30",,0,0,
882129,11,"LTFRB_4987","00:33:30","00:33:30",,0,0,
882130,1,"LTFRB_4977","00:00:00","00:00:00",,0,0,
882130,2,"LTFRB_4978","00:02:30","00:03:00",,0,0,
882130,3,"LTFRB_4979","00:06:30","00:07:00",,0,0,
882130,4,"LTFRB_4980","00:10:00","00:10:30",,0,0,
882130,5,"LTFRB_4981","00:13:30","00:14:00",,0,0,
882130,6,"LTFRB_4982","00:16:00","00:16:30",,0,0,
882130,7,"LTFRB_4983","00:19:00","00:19:30",,0,0,
882130,8,"LTFRB_4984","00:22:30","00:23:00",,0,0,
882130,9,"LTFRB_4985","00:26:30","00:27:00",,0,0,
882130,10,"LTFRB_4986","00:29:00","00:29:30",,0,0,
882130,11,"LTFRB_4987","00:33:30","00:33:30",,0,0,
882131,1,"LTFRB_4977","00:00:00","00:00:00",,0,0,
882131,2,"LTFRB_4978","00:02:30","00:03:00",,0,0,
882131,3,"LTFRB_4979","00:06:30","00:07:00",,0,0,
882131,4,"LTFRB_4980","00:10:00","00:10:30",,0,0,
882131,5,"LTFRB_4981","00:13:30","00:14:00",,0,0,
882131,6,"LTFRB_4982","00:16:00","00:16:30",,0,0,
882131,7,"LTFRB_4983","00:19:00","00:19:30",,0,0,
882131,8,"LTFRB_4984","00:22:30","00:23:00",,0,0,
882131,9,"LTFRB_4985","00:26:30","00:27:00",,0,0,
882131,10,"LTFRB_4986","00:29:00","00:29:30",,0,0,
882131,11,"LTFRB_4987","00:33:30","00:33:30",,0,0,
882132,1,"LTFRB_4977","00:00:00","00:00:00",,0,0,
882132,2,"LTFRB_4978","00:02:30","00:03:00",,0,0,
882132,3,"LTFRB_4979","00:06:30","00:07:00",,0,0,
882132,4,"LTFRB_4980","00:10:00","00:10:30",,0,0,
882132,5,"LTFRB_4981","00:13:30","00:14:00",,0,0,
882132,6,"LTFRB_4982","00:16:00","00:16:30",,0,0,
882132,7,"LTFRB_4983","00:19:00","00:19:30",,0,0,
882132,8,"LTFRB_4984","00:22:30","00:23:00",,0,0,
882132,9,"LTFRB_4985","00:26:30","00:27:00",,0,0,
882132,10,"LTFRB_4986","00:29:00","00:29:30",,0,0,
